id,prompt
0,Close up of grapes on a rotating table.
1,An artist brush painting on a canvas close up.
2,a drone flying over a snowy forest.
3,Campfire at night in a snowy forest with starry sky in the background.
4,A boat sailing leisurely along the Seine River with the Eiffel Tower in background
5,"A car moving slowly on an empty street, rainy evening"
6,A cat eating food out of a bowl
7,"A cute happy Corgi playing in park, sunset"
8,Clown fish swimming through the coral reef
9,"A modern art museum, with colorful paintings"
