record_id,evaluation_dimension,vbench_prompt_suite,prompt_index,prompt,matching_video_folder
VBENCH-ORIGIN-001,Spatial Relationship,spatial_relationship,1,"a bicycle on the left of a car, front view",spatial_relationship
VBENCH-ORIGIN-002,Spatial Relationship,spatial_relationship,2,"a car on the right of a motorcycle, front view",spatial_relationship
VBENCH-ORIGIN-003,Spatial Relationship,spatial_relationship,3,"a motorcycle on the left of a bus, front view",spatial_relationship
VBENCH-ORIGIN-004,Spatial Relationship,spatial_relationship,4,"a bus on the right of a traffic light, front view",spatial_relationship
VBENCH-ORIGIN-005,Spatial Relationship,spatial_relationship,5,"a traffic light on the left of a fire hydrant, front view",spatial_relationship
VBENCH-ORIGIN-006,Spatial Relationship,spatial_relationship,6,"a fire hydrant on the right of a stop sign, front view",spatial_relationship
VBENCH-ORIGIN-007,Spatial Relationship,spatial_relationship,7,"a stop sign on the left of a parking meter, front view",spatial_relationship
VBENCH-ORIGIN-008,Spatial Relationship,spatial_relationship,8,"a parking meter on the right of a bench, front view",spatial_relationship
VBENCH-ORIGIN-009,Spatial Relationship,spatial_relationship,9,"a bench on the left of a truck, front view",spatial_relationship
VBENCH-ORIGIN-010,Spatial Relationship,spatial_relationship,10,"a truck on the right of a bicycle, front view",spatial_relationship
VBENCH-ORIGIN-011,Spatial Relationship,spatial_relationship,11,"a bird on the left of a cat, front view",spatial_relationship
VBENCH-ORIGIN-012,Spatial Relationship,spatial_relationship,12,"a cat on the right of a dog, front view",spatial_relationship
VBENCH-ORIGIN-013,Spatial Relationship,spatial_relationship,13,"a dog on the left of a horse, front view",spatial_relationship
VBENCH-ORIGIN-014,Spatial Relationship,spatial_relationship,14,"a horse on the right of a sheep, front view",spatial_relationship
VBENCH-ORIGIN-015,Spatial Relationship,spatial_relationship,15,"a sheep on the left of a cow, front view",spatial_relationship
VBENCH-ORIGIN-016,Spatial Relationship,spatial_relationship,16,"a cow on the right of an elephant, front view",spatial_relationship
VBENCH-ORIGIN-017,Spatial Relationship,spatial_relationship,17,"an elephant on the left of a bear, front view",spatial_relationship
VBENCH-ORIGIN-018,Spatial Relationship,spatial_relationship,18,"a bear on the right of a zebra, front view",spatial_relationship
VBENCH-ORIGIN-019,Spatial Relationship,spatial_relationship,19,"a zebra on the left of a giraffe, front view",spatial_relationship
VBENCH-ORIGIN-020,Spatial Relationship,spatial_relationship,20,"a giraffe on the right of a bird, front view",spatial_relationship
VBENCH-ORIGIN-021,Spatial Relationship,spatial_relationship,21,"a bottle on the left of a wine glass, front view",spatial_relationship
VBENCH-ORIGIN-022,Spatial Relationship,spatial_relationship,22,"a wine glass on the right of a cup, front view",spatial_relationship
VBENCH-ORIGIN-023,Spatial Relationship,spatial_relationship,23,"a cup on the left of a fork, front view",spatial_relationship
VBENCH-ORIGIN-024,Spatial Relationship,spatial_relationship,24,"a fork on the right of a knife, front view",spatial_relationship
VBENCH-ORIGIN-025,Spatial Relationship,spatial_relationship,25,"a knife on the left of a spoon, front view",spatial_relationship
VBENCH-ORIGIN-026,Spatial Relationship,spatial_relationship,26,"a spoon on the right of a bowl, front view",spatial_relationship
VBENCH-ORIGIN-027,Spatial Relationship,spatial_relationship,27,"a bowl on the left of a bottle, front view",spatial_relationship
VBENCH-ORIGIN-028,Spatial Relationship,spatial_relationship,28,"a potted plant on the left of a remote, front view",spatial_relationship
VBENCH-ORIGIN-029,Spatial Relationship,spatial_relationship,29,"a remote on the right of a clock, front view",spatial_relationship
VBENCH-ORIGIN-030,Spatial Relationship,spatial_relationship,30,"a clock on the left of a vase, front view",spatial_relationship
VBENCH-ORIGIN-031,Spatial Relationship,spatial_relationship,31,"a vase on the right of scissors, front view",spatial_relationship
VBENCH-ORIGIN-032,Spatial Relationship,spatial_relationship,32,"scissors on the left of a teddy bear, front view",spatial_relationship
VBENCH-ORIGIN-033,Spatial Relationship,spatial_relationship,33,"a teddy bear on the right of a potted plant, front view",spatial_relationship
VBENCH-ORIGIN-034,Spatial Relationship,spatial_relationship,34,"a frisbee on the left of a sports ball, front view",spatial_relationship
VBENCH-ORIGIN-035,Spatial Relationship,spatial_relationship,35,"a sports ball on the right of a baseball bat, front view",spatial_relationship
VBENCH-ORIGIN-036,Spatial Relationship,spatial_relationship,36,"a baseball bat on the left of a baseball glove, front view",spatial_relationship
VBENCH-ORIGIN-037,Spatial Relationship,spatial_relationship,37,"a baseball glove on the right of a tennis racket, front view",spatial_relationship
VBENCH-ORIGIN-038,Spatial Relationship,spatial_relationship,38,"a tennis racket on the left of a frisbee, front view",spatial_relationship
VBENCH-ORIGIN-039,Spatial Relationship,spatial_relationship,39,"a toilet on the left of a hair drier, front view",spatial_relationship
VBENCH-ORIGIN-040,Spatial Relationship,spatial_relationship,40,"a hair drier on the right of a toothbrush, front view",spatial_relationship
VBENCH-ORIGIN-041,Spatial Relationship,spatial_relationship,41,"a toothbrush on the left of a sink, front view",spatial_relationship
VBENCH-ORIGIN-042,Spatial Relationship,spatial_relationship,42,"a sink on the right of a toilet, front view",spatial_relationship
VBENCH-ORIGIN-043,Spatial Relationship,spatial_relationship,43,"a chair on the left of a couch, front view",spatial_relationship
VBENCH-ORIGIN-044,Spatial Relationship,spatial_relationship,44,"a couch on the right of a bed, front view",spatial_relationship
VBENCH-ORIGIN-045,Spatial Relationship,spatial_relationship,45,"a bed on the left of a tv, front view",spatial_relationship
VBENCH-ORIGIN-046,Spatial Relationship,spatial_relationship,46,"a tv on the right of a dining table, front view",spatial_relationship
VBENCH-ORIGIN-047,Spatial Relationship,spatial_relationship,47,"a dining table on the left of a chair, front view",spatial_relationship
VBENCH-ORIGIN-048,Spatial Relationship,spatial_relationship,48,"an airplane on the left of a train, front view",spatial_relationship
VBENCH-ORIGIN-049,Spatial Relationship,spatial_relationship,49,"a train on the right of a boat, front view",spatial_relationship
VBENCH-ORIGIN-050,Spatial Relationship,spatial_relationship,50,"a boat on the left of an airplane, front view",spatial_relationship
VBENCH-ORIGIN-051,Spatial Relationship,spatial_relationship,51,"an oven on the top of a toaster, front view",spatial_relationship
