id,prompt
0,"A simple scene with one red ball and two cubes, one blue cube and one green cube. The red ball is clearly to the left of the blue cube. The green cube is on the other side of the red ball as a distractor. All three objects are visible at the same time. Static camera, simple background, minimal occlusion."
1,"A simple tabletop scene with one white cup and two books, one red book and one blue book. The white cup is clearly to the right of the red book. The blue book is on the other side of the cup as a distractor. All three objects remain visible throughout the video. Static camera, simple lighting, minimal overlap."
2,"A clear kitchen scene with one green apple and two bowls, one white bowl and one black bowl. The green apple is clearly to the left of the white bowl. The black bowl is on the other side of the apple as a distractor. All objects remain visible throughout the video. Static camera, clean background, minimal occlusion."
3,"A clear outdoor scene with two people and one blue bicycle. One person wears a red shirt and the other wears a white shirt. The person in the red shirt is clearly standing to the left of the blue bicycle. The person in the white shirt stands on the other side of the bicycle as a distractor. All subjects are visible throughout the video. Static camera, simple background, minimal occlusion."
4,"A simple indoor scene with two toy cars and one brown box. One toy car is yellow and the other is red. The yellow toy car is clearly to the right of the brown box. The red toy car is on the other side of the box as a distractor. All objects are clearly visible throughout the video. Static camera, uncluttered background, minimal occlusion."
5,"A simple indoor scene with two dogs and one white chair. One dog is black and the other is brown. The black dog is clearly to the left of the white chair. The brown dog is on the other side of the chair as a distractor. All subjects remain visible at the same time. Static camera, clean room layout, minimal overlap."
6,"A simple living room scene with one black cat and two cushions, one yellow cushion and one blue cushion. The black cat is clearly to the left of the yellow cushion. The blue cushion is on the other side of the cat as a distractor. All objects remain clearly visible throughout the video. Static camera, simple background, minimal occlusion."
7,"A clean tabletop scene with one orange and two plates, one white plate and one green plate. The orange is clearly to the right of the white plate. The green plate is on the other side of the orange as a distractor. All objects remain visible throughout the video. Static camera, simple lighting, minimal overlap."
8,"A simple outdoor scene with one wooden bench and two people. One person wears a blue shirt and the other wears a black shirt. The person in the blue shirt is clearly standing to the left of the wooden bench. The person in the black shirt stands on the other side of the bench as a distractor. All subjects are visible throughout the video. Static camera, clear layout, minimal occlusion."
9,"A simple indoor scene with one lamp and two chairs, one red chair and one gray chair. The lamp is clearly to the right of the red chair. The gray chair is on the other side of the lamp as a distractor. All objects remain visible throughout the video. Static camera, clean background, minimal overlap."
