id,prompt
0,"This close-up shot of a Victoria crowned pigeon showcases its striking blue plumage and red chest. Its crest is made of delicate, lacy feathers, while its eye is a striking red color. The bird’s head is tilted slightly to the side, giving the impression of it looking regal and majestic. The background is blurred, drawing attention to the bird’s striking appearance."
1,A Chinese boy wearing glasses enjoys a delicious cheeseburger with his eyes closed in a fast food restaurant
2,A corgi wearing sunglasses walks on the beach of a tropical island
3,A Chinese man sits at a table and eats noodles with chopsticks
4,"Close-up of a bright blue parrot's feathers glittering in the light, showing its unique plumage and vibrant colors"
5,A cinematic wide portrait of a man with his face lit by the glow of a TV.
6,"An older man playing piano, lit from the side."
7,A slow cinematic push in on an ostrich standing in a 1980s kitchen.
8,A man standing in front of a burning building giving the 'thumbs up' sign.
9,A Japanese animated film of a young woman standing on a ship and looking back at camera.
10,A woman singing and standing in a concert stage with a bright light in the background.
11,A curious cat peering out from a cozy hiding spot.
